"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","treatment_protocol_ch1","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","data_processing","platform_id","contact_name","contact_email","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","cluster (1, 2, 3, 4):ch1","tissue:ch1"
"GSM4046057","3BMB_185","GSM4046057","Public on Nov 19 2019","Aug 26 2019","Nov 19 2019","RNA","1","lung biopsy","Homo sapiens","cluster (1, 2, 3, 4): 1","tissue: lung","The immunosuppressive treatment of the patients before the biopsy was based on individual treatment regiments; the treatment after the biopsy was adjusted based on the histopathological diagnosis.","All human lung biopsies taken for clinical indication during the period specified above were included. Tissue was immediately placed in RNA later.","total RNA","Tissue was homogenization in 0.5ml of Trizol reagent (Invitrogen, Carlsbad, CA) and total RNA was extracted and purified using the Rneasy Micro Kit (Quiagen, Ontario, Canada) (average yield 8µg/core, (RNA integrity number >7).","biotin","Total RNA (0.5µg) was labeled using GeneChip 3` IVT Express Labeling kit. Quality of labeled aRNA was assessed on an Agilent 2100 Bioanalyzer (Agilent, Palo Alto, CA) before hybridization to GeneChip® PrimeView™ Human Gene Expression Array   ","9606","(Affymetrix, Santa Clara, CA).  Amplified RNA (10ug) was hybridized for 16 hr at 45C on  GeneChip® PrimeView™ Human Gene Expression Array . GeneChips were washed and stained in the Affymetrix Fluidics Station 450.","GeneChips were scanned using Gene Array Scanner 3000 7G (Affymetrix) and processed with GeneChip® Command Console® Software (AGCC)(Affymetrix).","Microarray data files were preprocessed using robust multi-chip averaging (RMA) implemented in Bioconductor.","GPL16043","Jessica,,Chang","jjchang@ualberta.ca","ATAGC","Medicine","University of Alberta","250 Heritage Medical Research Centre","Edmonton","T6G 2S2","Canada","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4046nnn/GSM4046057/suppl/GSM4046057_3BMB_185.CEL.gz","49495","1","lung"
"GSM4046058","3BMB_186","GSM4046058","Public on Nov 19 2019","Aug 26 2019","Nov 19 2019","RNA","1","lung biopsy","Homo sapiens","cluster (1, 2, 3, 4): 1","tissue: lung","The immunosuppressive treatment of the patients before the biopsy was based on individual treatment regiments; the treatment after the biopsy was adjusted based on the histopathological diagnosis.","All human lung biopsies taken for clinical indication during the period specified above were included. Tissue was immediately placed in RNA later.","total RNA","Tissue was homogenization in 0.5ml of Trizol reagent (Invitrogen, Carlsbad, CA) and total RNA was extracted and purified using the Rneasy Micro Kit (Quiagen, Ontario, Canada) (average yield 8µg/core, (RNA integrity number >7).","biotin","Total RNA (0.5µg) was labeled using GeneChip 3` IVT Express Labeling kit. Quality of labeled aRNA was assessed on an Agilent 2100 Bioanalyzer (Agilent, Palo Alto, CA) before hybridization to GeneChip® PrimeView™ Human Gene Expression Array   ","9606","(Affymetrix, Santa Clara, CA).  Amplified RNA (10ug) was hybridized for 16 hr at 45C on  GeneChip® PrimeView™ Human Gene Expression Array . GeneChips were washed and stained in the Affymetrix Fluidics Station 450.","GeneChips were scanned using Gene Array Scanner 3000 7G (Affymetrix) and processed with GeneChip® Command Console® Software (AGCC)(Affymetrix).","Microarray data files were preprocessed using robust multi-chip averaging (RMA) implemented in Bioconductor.","GPL16043","Jessica,,Chang","jjchang@ualberta.ca","ATAGC","Medicine","University of Alberta","250 Heritage Medical Research Centre","Edmonton","T6G 2S2","Canada","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4046nnn/GSM4046058/suppl/GSM4046058_3BMB_186.CEL.gz","49495","1","lung"
"GSM4046059","3BMB_187","GSM4046059","Public on Nov 19 2019","Aug 26 2019","Nov 19 2019","RNA","1","lung biopsy","Homo sapiens","cluster (1, 2, 3, 4): 1","tissue: lung","The immunosuppressive treatment of the patients before the biopsy was based on individual treatment regiments; the treatment after the biopsy was adjusted based on the histopathological diagnosis.","All human lung biopsies taken for clinical indication during the period specified above were included. Tissue was immediately placed in RNA later.","total RNA","Tissue was homogenization in 0.5ml of Trizol reagent (Invitrogen, Carlsbad, CA) and total RNA was extracted and purified using the Rneasy Micro Kit (Quiagen, Ontario, Canada) (average yield 8µg/core, (RNA integrity number >7).","biotin","Total RNA (0.5µg) was labeled using GeneChip 3` IVT Express Labeling kit. Quality of labeled aRNA was assessed on an Agilent 2100 Bioanalyzer (Agilent, Palo Alto, CA) before hybridization to GeneChip® PrimeView™ Human Gene Expression Array   ","9606","(Affymetrix, Santa Clara, CA).  Amplified RNA (10ug) was hybridized for 16 hr at 45C on  GeneChip® PrimeView™ Human Gene Expression Array . GeneChips were washed and stained in the Affymetrix Fluidics Station 450.","GeneChips were scanned using Gene Array Scanner 3000 7G (Affymetrix) and processed with GeneChip® Command Console® Software (AGCC)(Affymetrix).","Microarray data files were preprocessed using robust multi-chip averaging (RMA) implemented in Bioconductor.","GPL16043","Jessica,,Chang","jjchang@ualberta.ca","ATAGC","Medicine","University of Alberta","250 Heritage Medical Research Centre","Edmonton","T6G 2S2","Canada","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4046nnn/GSM4046059/suppl/GSM4046059_3BMB_187.CEL.gz","49495","1","lung"
"GSM4046060","3BMB_188","GSM4046060","Public on Nov 19 2019","Aug 26 2019","Nov 19 2019","RNA","1","lung biopsy","Homo sapiens","cluster (1, 2, 3, 4): 1","tissue: lung","The immunosuppressive treatment of the patients before the biopsy was based on individual treatment regiments; the treatment after the biopsy was adjusted based on the histopathological diagnosis.","All human lung biopsies taken for clinical indication during the period specified above were included. Tissue was immediately placed in RNA later.","total RNA","Tissue was homogenization in 0.5ml of Trizol reagent (Invitrogen, Carlsbad, CA) and total RNA was extracted and purified using the Rneasy Micro Kit (Quiagen, Ontario, Canada) (average yield 8µg/core, (RNA integrity number >7).","biotin","Total RNA (0.5µg) was labeled using GeneChip 3` IVT Express Labeling kit. Quality of labeled aRNA was assessed on an Agilent 2100 Bioanalyzer (Agilent, Palo Alto, CA) before hybridization to GeneChip® PrimeView™ Human Gene Expression Array   ","9606","(Affymetrix, Santa Clara, CA).  Amplified RNA (10ug) was hybridized for 16 hr at 45C on  GeneChip® PrimeView™ Human Gene Expression Array . GeneChips were washed and stained in the Affymetrix Fluidics Station 450.","GeneChips were scanned using Gene Array Scanner 3000 7G (Affymetrix) and processed with GeneChip® Command Console® Software (AGCC)(Affymetrix).","Microarray data files were preprocessed using robust multi-chip averaging (RMA) implemented in Bioconductor.","GPL16043","Jessica,,Chang","jjchang@ualberta.ca","ATAGC","Medicine","University of Alberta","250 Heritage Medical Research Centre","Edmonton","T6G 2S2","Canada","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4046nnn/GSM4046060/suppl/GSM4046060_3BMB_188.CEL.gz","49495","1","lung"
"GSM4046061","3BMB_28","GSM4046061","Public on Nov 19 2019","Aug 26 2019","Nov 19 2019","RNA","1","lung biopsy","Homo sapiens","cluster (1, 2, 3, 4): 3","tissue: lung","The immunosuppressive treatment of the patients before the biopsy was based on individual treatment regiments; the treatment after the biopsy was adjusted based on the histopathological diagnosis.","All human lung biopsies taken for clinical indication during the period specified above were included. Tissue was immediately placed in RNA later.","total RNA","Tissue was homogenization in 0.5ml of Trizol reagent (Invitrogen, Carlsbad, CA) and total RNA was extracted and purified using the Rneasy Micro Kit (Quiagen, Ontario, Canada) (average yield 8µg/core, (RNA integrity number >7).","biotin","Total RNA (0.5µg) was labeled using GeneChip 3` IVT Express Labeling kit. Quality of labeled aRNA was assessed on an Agilent 2100 Bioanalyzer (Agilent, Palo Alto, CA) before hybridization to GeneChip® PrimeView™ Human Gene Expression Array   ","9606","(Affymetrix, Santa Clara, CA).  Amplified RNA (10ug) was hybridized for 16 hr at 45C on  GeneChip® PrimeView™ Human Gene Expression Array . GeneChips were washed and stained in the Affymetrix Fluidics Station 450.","GeneChips were scanned using Gene Array Scanner 3000 7G (Affymetrix) and processed with GeneChip® Command Console® Software (AGCC)(Affymetrix).","Microarray data files were preprocessed using robust multi-chip averaging (RMA) implemented in Bioconductor.","GPL16043","Jessica,,Chang","jjchang@ualberta.ca","ATAGC","Medicine","University of Alberta","250 Heritage Medical Research Centre","Edmonton","T6G 2S2","Canada","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4046nnn/GSM4046061/suppl/GSM4046061_3BMB_28.CEL.gz","49495","3","lung"
"GSM4046062","3BMB_112","GSM4046062","Public on Nov 19 2019","Aug 26 2019","Nov 19 2019","RNA","1","lung biopsy","Homo sapiens","cluster (1, 2, 3, 4): 1","tissue: lung","The immunosuppressive treatment of the patients before the biopsy was based on individual treatment regiments; the treatment after the biopsy was adjusted based on the histopathological diagnosis.","All human lung biopsies taken for clinical indication during the period specified above were included. Tissue was immediately placed in RNA later.","total RNA","Tissue was homogenization in 0.5ml of Trizol reagent (Invitrogen, Carlsbad, CA) and total RNA was extracted and purified using the Rneasy Micro Kit (Quiagen, Ontario, Canada) (average yield 8µg/core, (RNA integrity number >7).","biotin","Total RNA (0.5µg) was labeled using GeneChip 3` IVT Express Labeling kit. Quality of labeled aRNA was assessed on an Agilent 2100 Bioanalyzer (Agilent, Palo Alto, CA) before hybridization to GeneChip® PrimeView™ Human Gene Expression Array   ","9606","(Affymetrix, Santa Clara, CA).  Amplified RNA (10ug) was hybridized for 16 hr at 45C on  GeneChip® PrimeView™ Human Gene Expression Array . GeneChips were washed and stained in the Affymetrix Fluidics Station 450.","GeneChips were scanned using Gene Array Scanner 3000 7G (Affymetrix) and processed with GeneChip® Command Console® Software (AGCC)(Affymetrix).","Microarray data files were preprocessed using robust multi-chip averaging (RMA) implemented in Bioconductor.","GPL16043","Jessica,,Chang","jjchang@ualberta.ca","ATAGC","Medicine","University of Alberta","250 Heritage Medical Research Centre","Edmonton","T6G 2S2","Canada","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4046nnn/GSM4046062/suppl/GSM4046062_3BMB_112.CEL.gz","49495","1","lung"
"GSM4046063","3BMB_90","GSM4046063","Public on Nov 19 2019","Aug 26 2019","Nov 19 2019","RNA","1","lung biopsy","Homo sapiens","cluster (1, 2, 3, 4): 1","tissue: lung","The immunosuppressive treatment of the patients before the biopsy was based on individual treatment regiments; the treatment after the biopsy was adjusted based on the histopathological diagnosis.","All human lung biopsies taken for clinical indication during the period specified above were included. Tissue was immediately placed in RNA later.","total RNA","Tissue was homogenization in 0.5ml of Trizol reagent (Invitrogen, Carlsbad, CA) and total RNA was extracted and purified using the Rneasy Micro Kit (Quiagen, Ontario, Canada) (average yield 8µg/core, (RNA integrity number >7).","biotin","Total RNA (0.5µg) was labeled using GeneChip 3` IVT Express Labeling kit. Quality of labeled aRNA was assessed on an Agilent 2100 Bioanalyzer (Agilent, Palo Alto, CA) before hybridization to GeneChip® PrimeView™ Human Gene Expression Array   ","9606","(Affymetrix, Santa Clara, CA).  Amplified RNA (10ug) was hybridized for 16 hr at 45C on  GeneChip® PrimeView™ Human Gene Expression Array . GeneChips were washed and stained in the Affymetrix Fluidics Station 450.","GeneChips were scanned using Gene Array Scanner 3000 7G (Affymetrix) and processed with GeneChip® Command Console® Software (AGCC)(Affymetrix).","Microarray data files were preprocessed using robust multi-chip averaging (RMA) implemented in Bioconductor.","GPL16043","Jessica,,Chang","jjchang@ualberta.ca","ATAGC","Medicine","University of Alberta","250 Heritage Medical Research Centre","Edmonton","T6G 2S2","Canada","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4046nnn/GSM4046063/suppl/GSM4046063_3BMB_90.CEL.gz","49495","1","lung"
"GSM4046064","3BMB_26","GSM4046064","Public on Nov 19 2019","Aug 26 2019","Nov 19 2019","RNA","1","lung biopsy","Homo sapiens","cluster (1, 2, 3, 4): 1","tissue: lung","The immunosuppressive treatment of the patients before the biopsy was based on individual treatment regiments; the treatment after the biopsy was adjusted based on the histopathological diagnosis.","All human lung biopsies taken for clinical indication during the period specified above were included. Tissue was immediately placed in RNA later.","total RNA","Tissue was homogenization in 0.5ml of Trizol reagent (Invitrogen, Carlsbad, CA) and total RNA was extracted and purified using the Rneasy Micro Kit (Quiagen, Ontario, Canada) (average yield 8µg/core, (RNA integrity number >7).","biotin","Total RNA (0.5µg) was labeled using GeneChip 3` IVT Express Labeling kit. Quality of labeled aRNA was assessed on an Agilent 2100 Bioanalyzer (Agilent, Palo Alto, CA) before hybridization to GeneChip® PrimeView™ Human Gene Expression Array   ","9606","(Affymetrix, Santa Clara, CA).  Amplified RNA (10ug) was hybridized for 16 hr at 45C on  GeneChip® PrimeView™ Human Gene Expression Array . GeneChips were washed and stained in the Affymetrix Fluidics Station 450.","GeneChips were scanned using Gene Array Scanner 3000 7G (Affymetrix) and processed with GeneChip® Command Console® Software (AGCC)(Affymetrix).","Microarray data files were preprocessed using robust multi-chip averaging (RMA) implemented in Bioconductor.","GPL16043","Jessica,,Chang","jjchang@ualberta.ca","ATAGC","Medicine","University of Alberta","250 Heritage Medical Research Centre","Edmonton","T6G 2S2","Canada","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4046nnn/GSM4046064/suppl/GSM4046064_3BMB_26.CEL.gz","49495","1","lung"
"GSM4046065","3BMB_168","GSM4046065","Public on Nov 19 2019","Aug 26 2019","Nov 19 2019","RNA","1","lung biopsy","Homo sapiens","cluster (1, 2, 3, 4): 1","tissue: lung","The immunosuppressive treatment of the patients before the biopsy was based on individual treatment regiments; the treatment after the biopsy was adjusted based on the histopathological diagnosis.","All human lung biopsies taken for clinical indication during the period specified above were included. Tissue was immediately placed in RNA later.","total RNA","Tissue was homogenization in 0.5ml of Trizol reagent (Invitrogen, Carlsbad, CA) and total RNA was extracted and purified using the Rneasy Micro Kit (Quiagen, Ontario, Canada) (average yield 8µg/core, (RNA integrity number >7).","biotin","Total RNA (0.5µg) was labeled using GeneChip 3` IVT Express Labeling kit. Quality of labeled aRNA was assessed on an Agilent 2100 Bioanalyzer (Agilent, Palo Alto, CA) before hybridization to GeneChip® PrimeView™ Human Gene Expression Array   ","9606","(Affymetrix, Santa Clara, CA).  Amplified RNA (10ug) was hybridized for 16 hr at 45C on  GeneChip® PrimeView™ Human Gene Expression Array . GeneChips were washed and stained in the Affymetrix Fluidics Station 450.","GeneChips were scanned using Gene Array Scanner 3000 7G (Affymetrix) and processed with GeneChip® Command Console® Software (AGCC)(Affymetrix).","Microarray data files were preprocessed using robust multi-chip averaging (RMA) implemented in Bioconductor.","GPL16043","Jessica,,Chang","jjchang@ualberta.ca","ATAGC","Medicine","University of Alberta","250 Heritage Medical Research Centre","Edmonton","T6G 2S2","Canada","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4046nnn/GSM4046065/suppl/GSM4046065_3BMB_168.CEL.gz","49495","1","lung"
"GSM4046066","3BMB_111","GSM4046066","Public on Nov 19 2019","Aug 26 2019","Nov 19 2019","RNA","1","lung biopsy","Homo sapiens","cluster (1, 2, 3, 4): 1","tissue: lung","The immunosuppressive treatment of the patients before the biopsy was based on individual treatment regiments; the treatment after the biopsy was adjusted based on the histopathological diagnosis.","All human lung biopsies taken for clinical indication during the period specified above were included. Tissue was immediately placed in RNA later.","total RNA","Tissue was homogenization in 0.5ml of Trizol reagent (Invitrogen, Carlsbad, CA) and total RNA was extracted and purified using the Rneasy Micro Kit (Quiagen, Ontario, Canada) (average yield 8µg/core, (RNA integrity number >7).","biotin","Total RNA (0.5µg) was labeled using GeneChip 3` IVT Express Labeling kit. Quality of labeled aRNA was assessed on an Agilent 2100 Bioanalyzer (Agilent, Palo Alto, CA) before hybridization to GeneChip® PrimeView™ Human Gene Expression Array   ","9606","(Affymetrix, Santa Clara, CA).  Amplified RNA (10ug) was hybridized for 16 hr at 45C on  GeneChip® PrimeView™ Human Gene Expression Array . GeneChips were washed and stained in the Affymetrix Fluidics Station 450.","GeneChips were scanned using Gene Array Scanner 3000 7G (Affymetrix) and processed with GeneChip® Command Console® Software (AGCC)(Affymetrix).","Microarray data files were preprocessed using robust multi-chip averaging (RMA) implemented in Bioconductor.","GPL16043","Jessica,,Chang","jjchang@ualberta.ca","ATAGC","Medicine","University of Alberta","250 Heritage Medical Research Centre","Edmonton","T6G 2S2","Canada","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4046nnn/GSM4046066/suppl/GSM4046066_3BMB_111.CEL.gz","49495","1","lung"
