,GSM8408646,GSM8408600,GSM8408583,GSM8408571,GSM8408667,GSM8408576,GSM8408603,GSM8408563,GSM8408570,GSM8408580,GSM8408677,GSM8408618,GSM8408642,GSM8408651,GSM8408590,GSM8408575,GSM8408626,GSM8408627,GSM8408607,GSM8408564,GSM8408685,GSM8408652,GSM8408657,GSM8408656,GSM8408693,GSM8408611,GSM8408617,GSM8408695,GSM8408645,GSM8408675,GSM8408589,GSM8408640,GSM8408662,GSM8408698,GSM8408699,GSM8408604,GSM8408623,GSM8408679,GSM8408633,GSM8408678,GSM8408635,GSM8408599,GSM8408622,GSM8408612,GSM8408601,GSM8408610,GSM8408624,GSM8408625,GSM8408650,GSM8408686,GSM8408689,GSM8408653,GSM8408632,GSM8408655,GSM8408577,GSM8408641,GSM8408697,GSM8408592,GSM8408569,GSM8408578,GSM8408595,GSM8408602,GSM8408634,GSM8408629,GSM8408630,GSM8408647,GSM8408649,GSM8408643,GSM8408644,GSM8408596,GSM8408579,GSM8408673,GSM8408584,GSM8408585,GSM8408573,GSM8408574,GSM8408605,GSM8408606,GSM8408597,GSM8408588,GSM8408593,GSM8408654,GSM8408658,GSM8408663,GSM8408582,GSM8408594,GSM8408696,GSM8408694,GSM8408680,GSM8408681,GSM8408613,GSM8408690,GSM8408687,GSM8408638,GSM8408636,GSM8408688,GSM8408637,GSM8408671,GSM8408639,GSM8408565,GSM8408692,GSM8408682,GSM8408683,GSM8408586,GSM8408587,GSM8408566,GSM8408674,GSM8408572,GSM8408616,GSM8408672,GSM8408669,GSM8408581,GSM8408670,GSM8408628,GSM8408684,GSM8408567,GSM8408568,GSM8408598,GSM8408615,GSM8408591,GSM8408621,GSM8408619,GSM8408620,GSM8408614,GSM8408631,GSM8408608,GSM8408659,GSM8408668,GSM8408691,GSM8408609,GSM8408661,GSM8408665,GSM8408660,GSM8408664,GSM8408666,GSM8408648,GSM8408676
CLUH,5.9,6.3,7.36666666666667,7.06666666666667,6.73333333333333,6.76666666666667,6.53333333333333,6.26666666666667,7.1,7.36666666666667,7.23333333333333,7.5,7.53333333333333,7.53333333333333,6.86666666666667,6.83333333333333,6.96666666666667,7.3,6.56666666666667,7.23333333333333,7.2,7.96666666666667,7.83333333333333,8.0,7.7,7.06666666666667,7.83333333333333,7.83333333333333,6.86666666666667,7.16666666666667,7.23333333333333,7.4,8.0,7.46666666666667,7.76666666666667,7.3,7.86666666666667,7.96666666666667,7.93333333333333,7.7,7.43333333333333,7.6,7.3,7.73333333333333,7.76666666666667,7.53333333333333,7.63333333333333,7.33333333333333,7.66666666666667,7.46666666666667,7.56666666666667,7.66666666666667,7.76666666666667,7.66666666666667,7.4,7.56666666666667,7.6,7.5,7.56666666666667,7.56666666666667,7.2,7.23333333333333,7.7,7.46666666666667,7.16666666666667,7.76666666666667,7.83333333333333,7.76666666666667,7.8,7.63333333333333,7.5,7.53333333333333,7.43333333333333,7.46666666666667,7.46666666666667,7.63333333333333,7.86666666666667,7.4,7.93333333333333,7.93333333333333,7.43333333333333,7.73333333333333,8.06666666666667,7.63333333333333,7.53333333333333,7.43333333333333,7.6,7.16666666666667,7.8,7.83333333333333,7.76666666666667,7.83333333333333,7.5,7.66666666666667,7.86666666666667,7.56666666666667,7.6,7.76666666666667,7.76666666666667,7.46666666666667,7.9,7.56666666666667,7.53333333333333,7.5,7.9,7.56666666666667,7.73333333333333,7.63333333333333,7.7,7.23333333333333,7.66666666666667,7.53333333333333,7.56666666666667,7.43333333333333,7.56666666666667,7.63333333333333,7.63333333333333,7.46666666666667,7.83333333333333,7.7,7.76666666666667,7.53333333333333,7.73333333333333,7.56666666666667,7.66666666666667,7.56666666666667,7.76666666666667,7.6,7.26666666666667,7.63333333333333,7.23333333333333,7.26666666666667,7.76666666666667,7.73333333333333,7.66666666666667,8.13333333333333,6.7
GOT2,7.6,8.7,10.32,10.7,10.28,10.74,10.06,10.62,10.7,11.34,10.96,11.5,11.1,11.28,10.48,11.04,10.9,11.3,10.82,11.1,11.22,11.42,11.24,11.44,11.3,11.02,11.62,11.44,10.68,10.82,11.2,11.04,11.5,11.08,11.18,10.98,11.5,11.36,11.52,11.54,11.4,11.4,11.12,11.44,11.38,11.36,11.38,11.26,11.44,11.3,11.38,11.38,11.48,11.46,11.02,11.3,11.16,11.26,11.54,11.34,11.02,11.2,11.34,11.28,11.0,11.44,11.48,11.18,11.26,11.4,11.2,11.4,11.26,11.44,11.4,11.36,11.36,11.14,11.5,11.5,11.06,11.32,11.62,11.34,11.14,11.12,11.32,11.24,11.38,11.32,11.6,11.58,11.5,11.48,11.64,11.5,11.54,11.36,11.44,11.3,11.42,11.6,11.56,11.4,11.6,11.46,11.46,11.44,11.56,11.28,11.64,11.48,11.36,11.24,11.38,11.54,11.64,11.46,11.58,11.42,11.66,11.54,11.7,11.54,11.74,11.46,11.74,11.62,11.62,11.58,11.1,11.24,11.66,11.54,11.54,11.42,9.64
ACO2,8.4,9.2,11.4,11.35,11.0,11.25,10.8,11.3,11.15,11.9,11.7,11.6,12.0,11.85,11.2,11.5,11.45,11.8,11.2,11.7,11.8,12.35,12.1,12.3,12.1,11.4,12.2,12.25,11.3,11.55,11.8,11.7,12.1,11.9,12.15,11.7,12.2,12.15,12.05,12.2,11.8,11.9,11.8,12.1,12.0,11.95,12.1,11.9,12.15,11.9,12.05,12.1,12.2,12.15,11.9,12.05,11.95,11.85,12.05,11.9,11.8,11.95,12.3,12.05,11.9,12.3,12.2,12.2,12.3,12.1,11.9,11.9,11.7,11.75,12.15,12.1,12.15,11.8,12.2,12.1,11.9,12.2,12.35,11.9,12.0,11.9,12.15,11.9,12.1,12.2,12.3,12.3,12.05,12.05,12.3,12.2,12.1,12.3,12.2,12.0,12.1,12.2,12.2,12.15,12.3,12.2,12.2,12.0,12.2,11.9,12.2,12.15,12.05,11.9,12.2,12.1,12.2,12.0,12.2,12.1,12.2,12.2,12.2,12.15,12.3,12.1,12.3,12.1,12.2,12.1,11.6,11.75,12.2,12.2,12.2,12.3,10.7
DNAJA3,7.23333333333333,6.03333333333333,8.43333333333333,8.23333333333333,8.06666666666667,8.03333333333333,7.8,7.73333333333333,8.1,8.83333333333333,8.46666666666667,8.8,8.8,8.76666666666667,8.26666666666667,8.3,8.2,8.5,8.03333333333333,8.36666666666667,8.53333333333333,8.83333333333333,8.63333333333333,8.86666666666667,8.7,8.23333333333333,9.03333333333333,8.93333333333333,8.0,8.26666666666667,8.46666666666667,8.5,8.96666666666667,8.9,8.76666666666667,8.6,9.2,9.0,8.93333333333333,9.0,8.73333333333333,8.46666666666667,8.46666666666667,9.0,8.76666666666667,8.73333333333333,8.83333333333333,8.66666666666667,8.93333333333333,8.63333333333333,8.66666666666667,8.76666666666667,9.1,9.06666666666667,8.46666666666667,8.73333333333333,8.8,8.7,8.93333333333333,8.76666666666667,8.5,8.53333333333333,8.86666666666667,8.63333333333333,8.36666666666667,9.06666666666667,9.1,8.83333333333333,8.8,8.63333333333333,8.66666666666667,8.76666666666667,8.7,8.73333333333333,8.66666666666667,8.73333333333333,8.96666666666667,8.4,8.86666666666667,8.93333333333333,8.5,8.76666666666667,9.06666666666667,8.7,8.73333333333333,8.7,9.03333333333333,8.53333333333333,8.83333333333333,8.8,8.96666666666667,8.96666666666667,8.73333333333333,8.83333333333333,8.9,8.8,8.96666666666667,9.03333333333333,8.93333333333333,8.66666666666667,8.9,8.9,8.83333333333333,8.76666666666667,9.1,8.86666666666667,9.0,8.83333333333333,8.8,8.73333333333333,9.13333333333333,9.03333333333333,8.96666666666667,8.56666666666667,8.83333333333333,8.83333333333333,8.86666666666667,8.36666666666667,8.8,8.66666666666667,8.83333333333333,8.8,8.9,8.83333333333333,8.9,8.73333333333333,9.1,9.03333333333333,8.93333333333333,8.76666666666667,8.4,8.56666666666667,9.1,9.03333333333333,8.93333333333333,8.76666666666667,7.13333333333333
PPIF,7.35,7.3,9.35,8.575,8.525,8.875,8.3,8.675,9.025,9.675,9.55,9.8,9.05,9.525,8.75,8.8,8.8,9.25,8.775,9.1,9.15,9.525,9.325,9.575,9.425,9.2,10.075,9.825,8.925,9.2,9.45,9.375,9.75,9.575,9.6,9.25,9.725,9.875,9.75,9.9,9.325,9.35,9.125,9.6,9.725,9.7,9.7,9.4,9.425,9.275,9.625,9.575,9.825,9.575,9.175,9.375,9.425,9.225,9.65,9.5,9.375,9.35,9.55,9.2,8.925,9.35,9.55,9.375,9.55,9.575,9.2,9.275,9.325,9.3,9.5,9.675,9.7,9.375,9.65,9.625,9.225,9.45,9.675,9.3,9.45,9.45,9.65,9.25,9.7,9.6,9.85,9.8,9.575,9.625,9.65,9.6,9.525,9.8,9.825,9.4,9.675,9.75,9.625,9.325,9.775,9.525,9.575,9.75,9.475,9.45,9.875,9.575,9.725,9.375,9.6,9.6,9.625,9.425,9.725,9.375,9.675,9.65,9.85,9.675,9.8,9.6,9.925,9.925,9.75,9.65,9.25,9.375,9.775,9.7,9.55,9.05,8.15
MRPS35,9.15,9.55,9.65,9.55,9.7,9.45,9.5,9.4,9.5,10.15,9.95,10.2,9.95,10.3,9.65,9.6,9.65,10.0,9.75,9.85,10.15,10.15,9.95,10.25,10.1,9.6,10.3,10.4,9.35,9.7,10.15,9.9,10.35,10.2,10.1,9.85,10.4,10.25,10.3,10.35,10.15,10.2,10.1,10.35,10.4,10.25,10.4,10.2,10.3,10.2,10.25,10.15,10.35,10.25,10.05,10.15,10.2,10.25,10.45,10.15,10.15,10.2,10.25,10.05,10.0,10.35,10.35,10.2,10.15,10.2,10.15,10.2,9.9,10.05,10.15,10.2,10.2,9.8,10.25,10.25,10.1,10.2,10.15,10.1,10.05,10.1,10.3,10.05,10.15,10.25,10.4,10.5,10.1,10.25,10.45,10.25,10.25,10.3,10.4,10.0,10.25,10.2,10.45,10.1,10.4,10.15,10.25,10.3,10.4,10.2,10.5,10.4,10.3,10.3,10.35,10.3,10.4,10.15,10.25,10.15,10.25,10.4,10.45,10.35,10.4,10.15,10.6,10.5,10.35,10.35,10.15,10.15,10.4,10.4,10.45,9.5,8.55
HSPA9,9.06,10.02,10.52,10.16,10.04,10.2,10.06,9.42,9.26,10.1,9.78,10.46,11.08,10.64,10.16,10.38,10.3,10.54,10.06,10.46,10.52,10.52,10.5,10.46,10.42,9.66,10.5,10.46,9.44,9.52,10.02,10.1,10.3,10.3,10.36,10.06,10.7,10.56,10.74,10.76,10.8,10.6,10.52,10.86,10.76,10.7,10.68,10.4,10.6,10.36,10.6,10.64,10.92,10.7,10.4,10.54,10.52,10.54,10.72,10.62,10.26,10.44,10.74,10.58,10.4,10.54,10.64,10.4,10.56,10.74,10.48,10.68,10.38,10.68,10.62,10.6,10.46,10.1,10.68,10.64,10.24,10.44,10.68,10.32,10.7,10.5,10.52,10.4,10.54,10.54,10.72,10.68,10.52,10.56,10.72,10.62,10.6,10.74,10.6,10.44,10.64,10.62,10.78,10.36,10.66,10.74,10.84,10.68,10.7,10.4,10.88,10.7,10.68,10.4,10.6,10.74,10.68,10.5,10.6,10.6,10.62,10.52,10.64,10.68,10.88,10.52,10.8,10.7,10.74,10.6,10.1,10.36,10.78,10.66,10.6,10.18,8.54
ATP5A1,11.45,12.125,12.525,12.9,12.95,12.975,12.825,12.55,12.425,13.025,12.75,13.025,13.275,13.325,13.125,13.175,13.225,13.35,12.85,13.2,13.275,13.3,13.2,13.3,13.2,12.5,13.225,13.375,12.775,12.6,13.125,12.975,13.25,13.25,13.275,12.975,13.375,13.375,13.425,13.45,13.35,13.3,13.225,13.525,13.4,13.425,13.475,13.2,13.4,13.25,13.35,13.375,13.625,13.45,13.275,13.425,13.275,13.35,13.45,13.425,13.25,13.275,13.4,13.475,13.125,13.475,13.35,13.275,13.45,13.325,13.225,13.45,13.15,13.275,13.35,13.275,13.35,13.0,13.45,13.35,13.25,13.2,13.45,13.2,13.225,13.225,13.3,13.075,13.35,13.425,13.4,13.4,13.4,13.475,13.525,13.45,13.4,13.525,13.45,13.2,13.45,13.425,13.375,13.3,13.475,13.525,13.55,13.225,13.475,13.325,13.425,13.425,13.425,13.35,13.425,13.4,13.375,13.175,13.425,13.275,13.275,13.3,13.3,13.475,13.55,13.325,13.475,13.5,13.5,13.4,13.1,13.2,13.35,13.325,13.375,12.625,11.325
LRPPRC,7.275,8.0,7.675,7.725,7.45,7.675,7.75,7.675,7.525,8.275,7.9,8.4,8.375,8.3,8.225,7.95,7.7,8.025,8.0,8.425,8.4,8.275,8.25,8.3,8.225,7.825,8.45,8.15,7.7,7.9,8.025,7.975,8.725,8.075,8.175,8.05,8.725,8.375,8.55,8.65,8.05,8.225,8.2,8.65,8.45,8.375,8.475,8.15,8.275,8.3,8.475,8.225,8.475,8.525,8.125,8.1,8.35,8.25,8.575,8.225,7.875,8.05,8.275,8.425,8.075,8.5,8.65,8.425,8.3,8.725,8.45,8.575,8.3,8.575,8.5,8.5,8.45,7.9,8.775,8.6,8.075,8.1,8.5,8.2,8.475,8.2,8.275,8.125,8.375,8.375,8.675,8.6,8.475,8.55,8.6,8.5,8.55,8.575,8.425,8.275,8.525,8.45,8.65,8.325,8.65,8.625,8.775,8.625,8.625,8.475,8.75,8.6,8.5,8.55,8.625,8.8,8.65,8.35,8.75,8.4,8.525,8.725,8.6,8.55,8.75,8.625,9.0,8.925,8.75,8.7,8.2,8.325,8.825,8.6,8.625,8.425,7.2
MCCC2,7.8,10.3,9.15,9.15,8.9,9.1,8.85,9.1,9.4,10.2,9.7,10.0,9.65,9.55,9.4,9.25,9.5,9.8,9.4,9.5,9.55,10.35,9.8,10.35,9.95,9.35,10.3,10.3,9.15,9.45,9.8,9.9,10.1,10.0,10.0,9.25,10.0,9.85,10.0,9.95,9.85,10.0,9.6,9.8,9.95,9.8,10.05,9.8,10.05,9.8,9.95,9.95,10.15,10.1,9.7,9.85,9.9,9.8,10.15,9.85,9.65,9.9,10.2,9.8,9.4,9.9,10.05,9.8,9.95,10.3,10.15,10.1,9.9,10.3,10.0,10.05,10.15,9.75,10.1,10.2,9.85,9.9,10.4,10.05,10.1,10.05,10.15,9.9,10.05,10.1,10.3,10.4,10.2,10.3,10.25,10.2,10.05,10.1,10.2,9.8,10.15,10.15,10.15,9.85,10.45,10.0,10.1,10.15,10.2,9.9,10.3,10.15,10.0,9.9,10.0,10.25,10.35,10.1,10.35,10.0,10.35,10.15,10.3,10.15,10.35,10.15,10.4,10.45,10.55,10.45,9.8,10.0,10.5,10.45,10.4,10.15,8.65
