gene,module
WDFY4,0
HLA-DPA1,0
IRF8,0
RGS19,0
PRKCB,0
HCST,0
FAM26F,0
HMHA1,0
FYB,0
ITGA4,0
CD86,0
PTPN6,0
TLR8,0
PTPRC,0
DEF6,0
DOCK8,0
CD48,0
IKZF1,0
CORO1A,0
RTN1,0
RAC2,0
TRAF3IP3,0
AOAH,0
IFITM3,0
IFITM1,0
TIMP1,0
CD44,0
RAB31,0
TNC,0
C1QB,0
C1QC,0
C3AR1,0
RNASE6,0
FPR3,0
LY96,0
MSR1,0
FN1,0
S100A11,0
NNMT,0
CTGF,0
LYZ,0
COTL1,0
CD53,0
ITGB2,0
HCK,0
CTSS,0
SERPINA1,0
THEMIS2,0
MYO1F,0
LCP1,0
LILRB2,0
CLEC4A,0
DAPP1,0
AMICA1,0
CLEC7A,0
CSF2RA,0
PLEK,0
LAPTM5,0
EVI2B,0
HLA-DRB1,0
ARHGDIB,0
SH3BGRL,0
ARPC5,0
CTSC,0
SH3BGRL3,0
CMTM3,0
HLA-DMA,0
CASP4,0
MS4A6A,0
RNASET2,0
VAMP8,0
ANXA1,0
PFN1,0
GMFG,0
AIF1,0
CD37,0
LYN,0
PRPS2,0
FCER1G,0
WIPF1,0
DRAM1,0
ARHGAP15,0
PLEKHO2,0
RAB32,0
CSTA,0
SYK,0
SLA,0
ADCY7,0
RAB8B,0
PYCARD,0
ABRACL,0
MPEG1,0
CMTM7,0
ARHGAP30,0
GLIPR1,0
SLC30A7,0
TYROBP,0
DOCK11,0
DOCK10,0
DOCK2,0
CD300A,0
LAIR1,0
STK17B,0
CD74,0
GIMAP2,0
APBB1IP,0
NABP1,0
EPB41L3,0
GPR183,0
CYBB,0
OSTF1,0
GPR65,0
MARCH1,0
CD40,0
ITGAM,0
CASP1,0
EVI2A,0
RAP2B,0
SAMSN1,0
CARD16,0
RASSF2,0
RBM47,0
FAM107B,0
RGS10,0
VAV1,0
CD14,0
SRGN,0
HLA-DRA,0
LPXN,0
CYBA,0
FERMT3,0
ARPC1B,0
TCIRG1,0
TMSB10,0
HLA-DMB,0
LCP2,0
SNX10,0
TMSB4X,0
CCDC109B,0
DENND2D,0
IFI30,0
CMTM6,0
TLR1,0
PREX1,0
CD52,0
RHOG,0
KYNU,0
MYD88,0
SELPLG,0
SLC7A7,0
BIN2,0
PIK3R5,0
FCN1,0
SASH3,0
CSF2RB,0
LAT2,0
IGFLR1,0
C1orf162,0
PILRA,0
LST1,0
ITGAL,0
MNDA,0
TFEC,0
CYTIP,0
NCF2,0
TNFRSF14,0
HCLS1,0
MAN2B1,0
IFNGR2,0
PRELID1,0
PSMB8,0
IRF1,0
HLA-DPB1,0
ZC3HAV1,0
NMI,0
HLA-F,0
TNFAIP3,0
AIM1,0
GBP2,0
VCAM1,0
RARRES3,0
CXCL9,0
IL2RG,0
CXCL10,0
GZMA,0
GCH1,0
UBE2L6,0
PARP14,0
FGL2,0
IL2RB,0
CD69,0
HLA-DOB,0
HLA-DQA1,0
LY75,0
RAB27A,0
GBP1,0
PSMB9,0
STAT1,0
FNBP1,0
PLA1A,0
TNFSF13B,0
BLNK,0
GZMK,0
SLAMF7,0
GBP5,0
NLRC5,0
ARAP2,0
TAP1,0
BTN3A2,0
AKNA,0
TLR7,0
EPSTI1,0
CCR2,0
LGALS2,0
SAMD3,0
ARL4C,0
CXCL11,0
GPR18,0
ICAM1,0
CRTAM,0
NECAP2,0
APOL1,0
HLA-DOA,0
GBP4,0
BTN3A3,0
BTN3A1,0
RUNX3,0
CLEC10A,0
LCK,0
IDO1,0
HLA-A,0
MLKL,0
HLA-B,0
ISG20,0
HNMT,0
MOB1A,0
VIM,0
TLR4,0
DTX3L,0
IFI35,0
IRF9,0
HCP5,0
PSME1,0
PSME2,0
SAMD9,0
RTP4,0
TRAM1,0
IQGAP1,0
IFI16,0
ARF6,0
FAM49B,0
CAP1,0
C6orf62,0
SERP1,0
ACTB,0
SOAT1,0
TPM4,0
CLIC2,0
CDC42SE2,0
ACTG1,0
ZFP36,0
TLR2,0
C1QA,0
F13A1,0
CSF1R,0
ATP11C,0
MRC1,0
ADAP2,0
LILRB4,0
MAF,0
SHTN1,0
TRIM38,0
FOLR2,0
MS4A7,0
IFI27,0
ISG15,0
ADGRE5,0
TMEM2,0
IQGAP2,0
CLIC1,0
ENTPD1,0
MYO5A,0
IL10RB,0
IL13RA1,0
FCGR3A,0
SLC20A1,0
EMP3,0
GLIPR2,0
GPX1,0
CD68,0
NBEAL2,0
PTK2B,0
TBC1D10C,0
PQLC3,0
ATL3,0
RAB8A,0
RABAC1,0
SELM,0
ESYT1,0
CCL2,0
CCL8,0
VSIG4,0
C2,0
MAFB,0
CD163,0
MS4A4A,0
SLCO2B1,0
SIGLEC1,0
BAZ1A,0
PRR5L,0
ARPC2,0
EML4,0
PLAC8,0
TAP2,0
APOL3,0
BATF2,0
GZMB,0
APOL6,0
KLRD1,0
CHST2,0
KIAA0226L,0
PPP1R18,0
WDFY1,0
FAM111A,0
NFKB1,0
TRIM22,0
SP110,0
PTBP3,0
ARHGAP18,0
SAMHD1,0
PLSCR1,0
GPR34,0
STK26,0
STK4,0
TRIM14,0
ALOX5,0
IL10RA,0
BCL2A1,0
PTPN22,0
FCGR1A,0
CXCL16,0
CXorf21,0
GPR171,0
BCAT1,0
TBXAS1,0
EMB,0
IL18,0
HAVCR2,0
MICAL1,0
SLC1A5,0
FTL,0
OAS1,0
OAS2,0
NAGK,0
PIK3AP1,0
NAGA,0
MOB3A,0
NCF4,0
LY86,0
CNPY3,0
STK10,0
CD3D,0
CST7,0
CD247,0
KLRB1,0
AIM2,0
BCL11B,0
ITK,0
TNFRSF1B,0
ARHGEF18,0
SLFN12,0
RNF213,0
PARP12,0
IRF4,0
CD8A,0
CD27,0
SH2D1A,0
IL23A,0
PLA2G4A,0
CYFIP1,0
LAP3,0
TRIM21,0
SAMD9L,0
DDX58,0
DDX60,0
PARP9,0
LAT,0
RASGRP1,0
CCL5,0
CD2,0
ARPC4,0
HN1,0
FXYD5,0
SFT2D2,0
P2RY13,0
ALOX5AP,0
PLAUR,0
SLAMF8,0
IGSF6,0
OSBPL3,0
CD96,0
BASP1,0
SKAP2,0
PGLS,0
IFIH1,0
C19orf66,0
KLHL6,0
PRSS23,0
RPS6KA1,0
SEPT6,0
BIRC3,0
SP140L,0
HLA-E,0
CRLF3,0
IRAK4,0
SH3BP5,0
SNTB2,0
MAN2A1,0
DUSP6,0
PABPC1,0
C4orf48,0
FKBP11,0
P2RX4,0
MCOLN2,0
EOMES,0
TNFAIP8L2,0
SMAP2,0
HAPLN3,0
SERPINB9,0
SELL,0
FAM65B,0
SKAP1,0
TAGAP,0
PYHIN1,0
TRAT1,0
THEMIS,0
