tissue1,tissue2,module1,module2,module1_size,module2_size,overlap,overlap_pct1,overlap_pct2,p_value,odds_ratio,genes,p_adjusted,significant
liver,kidney,0,1,150,275,91,60.666666666666664,33.09090909090909,4.579746951873502e-49,15.54108327192336,"['ICAM1', 'GPSM3', 'GIMAP1', 'ADA', 'TLR7', 'LILRB4', 'TYROBP', 'C1QA', 'BTK', 'CSF2RB', 'CD300A', 'CTSS', 'PTPN6', 'RGS19', 'FERMT3', 'MSR1', 'ARL4C', 'LCP2', 'HLA-DMA', 'TLR8', 'PIK3R5', 'JAK2', 'EVI2B', 'ITGB2', 'LYN', 'CXorf21', 'CRLF3', 'CARD16', 'BATF', 'CD44', 'SELPLG', 'FOLR2', 'AOAH', 'LILRB2', 'FCGR3A', 'GMFG', 'SLC15A3', 'NAGK', 'FLI1', 'MS4A7', 'ELF4', 'PYCARD', 'RNASET2', 'PTPRE', 'VAV1', 'AIF1', 'HCST', 'HVCN1', 'CD53', 'CYBB', 'RGS18', 'GIMAP4', 'PLEK', 'LILRB1', 'CASP1', 'CD72', 'C1QB', 'TNFAIP8L2', 'ARHGDIB', 'TNFSF13B', 'PILRA', 'ALOX5', 'PLEKHO1', 'C1QC', 'DOK2', 'ST8SIA4', 'RGS10', 'CLEC4A', 'LST1', 'HLA-DMB', 'GPR65', 'HCK', 'VSIG4', 'CELF2', 'MPEG1', 'ADCY7', 'FCER1G', 'CLEC7A', 'TRAF5', 'C1orf162', 'TMSB4X', 'STX11', 'CD163', 'GIMAP7', 'PRKCB', 'DOCK2', 'CD86', 'LCP1', 'LY86', 'MYO1F', 'FNBP1']",2.289873475936751e-48,True
liver,kidney,0,2,150,150,21,14.0,14.0,0.0009434380529027002,2.4090499369028304,"['WDFY4', 'ARHGAP15', 'SASH3', 'IRF8', 'FYB', 'CCR5', 'CORO1A', 'HLA-DPB1', 'CYTIP', 'DAPP1', 'ITGA4', 'RAC2', 'ARHGAP30', 'CD52', 'STK17B', 'DOCK10', 'WIPF1', 'CD38', 'AIM2', 'BIN2', 'PTPRC']",0.0011231405391698812,True
liver,kidney,1,1,138,275,45,32.608695652173914,16.363636363636363,1.3880790468999515e-10,3.8288920056100983,"['CSF2RA', 'EMP3', 'FCGR1A', 'NCF4', 'TIMP2', 'FAM49B', 'PARP8', 'RNASE6', 'EVI2A', 'GLIPR1', 'GLIPR2', 'SAMSN1', 'IFI30', 'TLR2', 'CASP4', 'IMPDH1', 'CD84', 'CCDC109B', 'GNB4', 'RAP2B', 'FCGR1B', 'C3AR1', 'LAIR1', 'IFI16', 'BCL2A1', 'FAM129A', 'TNFAIP3', 'ADRBK2', 'PREX1', 'LY96', 'SLFN11', 'MAP3K8', 'EMILIN2', 'SH3BGRL3', 'LAPTM5', 'TNFAIP8', 'FPR3', 'MLKL', 'PLEKHO2', 'ANXA1', 'MTHFD2', 'NCF2', 'RAB31', 'SRGN', 'ENTPD1']",2.1688735107811743e-10,True
liver,kidney,1,3,138,114,21,15.217391304347826,18.42105263157895,4.04818095405262e-06,3.77695064791839,"['NAP1L1', 'FAR1', 'MARCKS', 'IQGAP1', 'ASAP1', 'TUBA1A', 'SWAP70', 'HK1', 'DOCK11', 'CLIC1', 'TIMP1', 'MYOF', 'NSMAF', 'VIM', 'S100A4', 'CMTM3', 'SOAT1', 'PEA15', 'MYO5A', 'S100A11', 'LPCAT1']",5.953207285371499e-06,True
liver,kidney,2,3,112,114,14,12.5,12.280701754385966,0.0015450753216021765,2.822857142857143,"['CAPZA1', 'YEATS2', 'ANXA5', 'CAP1', 'CALU', 'ACTR3', 'RECQL', 'ANXA2P2', 'ANXA2', 'YWHAH', 'IFNGR1', 'SDCBP', 'TMEM87B', 'CCDC112']",0.0017557674109115642,True
liver,kidney,3,7,90,23,22,24.444444444444443,95.65217391304348,4.908234304631113e-31,678.4411764705883,"['KIAA0101', 'BUB1B', 'ASPM', 'CEP55', 'TTK', 'RRM2', 'CDKN3', 'DTL', 'KIF20A', 'TOP2A', 'MKI67', 'CENPF', 'DLGAP5', 'CCNB1', 'CCNA2', 'ANLN', 'CENPA', 'EZH2', 'KIF11', 'UBE2C', 'TPX2', 'BUB1']",1.2270585761577782e-30,True
liver,kidney,4,0,63,505,23,36.507936507936506,4.554455445544554,0.01017832334574034,1.9600103734439833,"['NR1I3', 'CMBL', 'LIME1', 'SLC6A13', 'TTC36', 'C8orf82', 'HSD17B8', 'SARDH', 'PXMP2', 'PCK2', 'SLC47A1', 'GLYAT', 'TMEM120A', 'LDHD', 'GLYCTK', 'ACOX2', 'ASPDH', 'CIDEB', 'MAOB', 'ASS1', 'SLC25A10', 'PBLD', 'CAT']",0.011063394941022108,True
liver,kidney,5,2,55,150,42,76.36363636363636,28.0,2.5187890140702008e-40,60.57692307692308,"['DEF6', 'GZMK', 'EOMES', 'TRAT1', 'THEMIS', 'NKG7', 'SH2D1A', 'CD3D', 'GZMA', 'GPR18', 'NLRC3', 'PTPN22', 'CD96', 'LCK', 'IL23A', 'SLAMF7', 'PRF1', 'TBC1D10C', 'IL2RG', 'CXCR6', 'IKZF1', 'RHOH', 'KLRD1', 'CD27', 'CD37', 'CD2', 'APOBEC3G', 'CD247', 'BCL11B', 'CST7', 'GPR171', 'CCL5', 'CD8A', 'ITGAL', 'CRTAM', 'CD48', 'CLEC2D', 'TRAF3IP3', 'ACAP1', 'ITK', 'RUNX3', 'SAMD3']",8.995675050250716e-40,True
liver,kidney,6,4,54,55,36,66.66666666666667,65.45454545454545,6.627546828471352e-51,222.6315789473684,"['GBP5', 'APOL3', 'EPSTI1', 'WARS', 'RTP4', 'IFIH1', 'DDX60', 'BTN3A2', 'CXCL11', 'GBP4', 'IFI44L', 'PSMB9', 'HLA-B', 'IFIT2', 'IFIT3', 'HCP5', 'HLA-E', 'BTN3A1', 'ISG15', 'BTN3A3', 'UBE2L6', 'IRF1', 'TAP1', 'IFI6', 'MX1', 'CXCL10', 'PSMB8', 'IFI44', 'HLA-F', 'RSAD2', 'CMPK2', 'CXCL9', 'OAS2', 'GBP1', 'PARP12', 'STAT1']",4.1422167677945945e-50,True
liver,heart,0,0,150,191,53,35.333333333333336,27.74869109947644,1.0019785583194918e-21,7.522784999252951,"['TMSB10', 'PLEK', 'EPB41L3', 'ARHGAP15', 'MPEG1', 'CYBA', 'ADCY7', 'FCER1G', 'TLR7', 'CD44', 'LILRB4', 'TYROBP', 'C1QB', 'C1QA', 'ARHGDIB', 'LILRB2', 'FOLR2', 'TMSB4X', 'FCGR3A', 'CTSS', 'CYBB', 'CD163', 'ALOX5', 'GMFG', 'NAGK', 'SYK', 'FERMT3', 'MSR1', 'C1QC', 'CTSC', 'MS4A7', 'RGS10', 'CLEC4A', 'PYCARD', 'SLC7A7', 'LCP2', 'RNASET2', 'HLA-DMA', 'TFEC', 'MOB3A', 'LY86', 'HLA-DMB', 'ADGRE5', 'WIPF1', 'CD68', 'AIF1', 'HAVCR2', 'ITGB2', 'LYN', 'HCK', 'VSIG4', 'MARCH1', 'CD53']",2.2772239961806633e-21,True
liver,heart,0,1,150,109,50,33.333333333333336,45.87155963302752,2.2143034770222365e-32,16.771186440677965,"['CXorf21', 'SEL1L3', 'WDFY4', 'SASH3', 'IRF8', 'GPSM3', 'PTAFR', 'COTL1', 'FYB', 'NFKBIE', 'CORO1A', 'CLEC7A', 'TRAF5', 'CYTIP', 'C1orf162', 'CSF2RB', 'SELPLG', 'CD300A', 'DAPP1', 'AOAH', 'ITGA4', 'RAC2', 'PILRA', 'TNFAIP8L2', 'PTPN6', 'RGS19', 'HCST', 'ARHGAP30', 'CD52', 'PRKCB', 'ELF4', 'DOCK8', 'LST1', 'DOCK2', 'STK17B', 'TLR8', 'PIK3R5', 'CD86', 'LCP1', 'VAV1', 'MYO1F', 'DOCK10', 'CD38', 'AIM2', 'EVI2B', 'OSBPL3', 'BIN2', 'GPR65', 'SCIMP', 'PTPRC']",6.150842991728435e-32,True
liver,heart,0,2,150,107,13,8.666666666666666,12.149532710280374,0.028159518157667644,1.9624165243050162,"['ICAM1', 'HLA-DPA1', 'SAMD9L', 'CD74', 'TNFSF13B', 'CASP1', 'HLA-DPB1', 'HLA-DRB1', 'CARD16', 'HLA-DOA', 'FNBP1', 'FGL2', 'HLA-DRA']",0.02933283141423713,True
liver,heart,1,0,138,191,43,31.159420289855074,22.513089005235603,3.332468464223416e-15,5.816927453769559,"['CMTM7', 'CSF2RA', 'ARPC1B', 'EMP3', 'FCGR1A', 'NCF4', 'SAMSN1', 'RNASE6', 'GLIPR1', 'EVI2A', 'IFI30', 'GLIPR2', 'PLAUR', 'TLR2', 'CASP4', 'ARPC2', 'SH3BGRL', 'NABP1', 'SLC38A6', 'CCDC109B', 'RAP2B', 'C3AR1', 'LAIR1', 'LY96', 'DOCK11', 'IL18', 'CLIC1', 'TIMP1', 'DRAM1', 'SH3BGRL3', 'LAPTM5', 'FPR3', 'CMTM3', 'RAB8B', 'ANXA1', 'PLEKHO2', 'SOAT1', 'MYO5A', 'NCF2', 'RAB31', 'SRGN', 'ENTPD1', 'S100A11']",5.950836543256099e-15,True
liver,heart,2,3,112,84,14,12.5,16.666666666666668,5.806416722530855e-05,4.093877551020408,"['CAPZA1', 'MSN', 'ARPC5', 'ATP6V1B2', 'ACTB', 'ANXA5', 'CAP1', 'ACTR3', 'ANXA2P2', 'ANXA2', 'YWHAH', 'ACTR2', 'RHOA', 'CORO1C']",8.064467670181743e-05,True
liver,heart,3,11,90,11,11,12.222222222222221,100.0,3.095365758511979e-16,inf,"['KIAA0101', 'ASPM', 'ANLN', 'UBE2C', 'KIF20A', 'TYMS', 'CEP55', 'TOP2A', 'NUSAP1', 'RRM2', 'DLGAP5']",5.952626458676883e-16,True
liver,heart,5,4,55,83,43,78.18181818181819,51.80722891566265,6.150911480155681e-56,187.49791666666667,"['FASLG', 'GZMK', 'EOMES', 'TRAT1', 'THEMIS', 'NKG7', 'SH2D1A', 'CD3D', 'GZMA', 'GPR18', 'NLRC3', 'CD96', 'LCK', 'SLAMF7', 'IL23A', 'PRF1', 'TBC1D10C', 'IL2RG', 'CXCR6', 'RHOH', 'FCRL3', 'KLRD1', 'CD27', 'CD2', 'APOBEC3G', 'CD247', 'BCL11B', 'CST7', 'GPR171', 'CCL5', 'LAT', 'RASGRP1', 'PIK3CG', 'CD8A', 'ITGAL', 'CRTAM', 'SEPT1', 'TRAF3IP3', 'TESPA1', 'MCOLN2', 'ITK', 'RUNX3', 'SAMD3']",7.688639350194601e-55,True
liver,heart,6,2,54,107,42,77.77777777777777,39.25233644859813,2.759041282615556e-48,111.4076923076923,"['RNF213', 'NMI', 'IRF9', 'RFX5', 'ISG20', 'GBP5', 'APOL3', 'EPSTI1', 'RTP4', 'IFIH1', 'DDX60', 'SAMD9', 'BTN3A2', 'CXCL11', 'GBP4', 'OAS1', 'PSMB9', 'HLA-B', 'IFIT2', 'TRIM22', 'RARRES3', 'HCP5', 'IFIT3', 'HLA-E', 'BTN3A1', 'ISG15', 'BTN3A3', 'TRIM21', 'UBE2L6', 'IRF1', 'TAP1', 'NLRC5', 'CXCL10', 'PSMB8', 'HLA-A', 'HLA-F', 'IFI35', 'CXCL9', 'OAS2', 'GBP1', 'PARP12', 'STAT1']",1.1496005344231485e-47,True
kidney,heart,1,0,275,191,91,33.09090909090909,47.64397905759162,4.59740517728826e-37,8.966467391304349,"['EMP3', 'NCF4', 'IFI30', 'TLR7', 'LILRB4', 'SIGLEC1', 'TCIRG1', 'TYROBP', 'C1QA', 'CSTA', 'CTSS', 'LY96', 'EMB', 'FERMT3', 'MSR1', 'LCP2', 'HLA-DMA', 'ITGB2', 'LYN', 'MS4A6A', 'GCNT1', 'ITGAM', 'FCGR1A', 'SAMSN1', 'EVI2A', 'IGSF6', 'HCLS1', 'TLR2', 'ALOX5AP', 'SAMHD1', 'CD44', 'MS4A4A', 'RAP2B', 'LAIR1', 'RASSF2', 'LILRB2', 'FOLR2', 'FCGR3A', 'GMFG', 'CSF1R', 'NAGK', 'MS4A7', 'PYCARD', 'RNASET2', 'FPR3', 'AIF1', 'MAN2B1', 'RAB31', 'ARAP2', 'CYBB', 'CD53', 'PLEK', 'RNASE6', 'CLEC2B', 'RHOG', 'CCDC109B', 'C1QB', 'C3AR1', 'ARHGDIB', 'CD40', 'ALOX5', 'GPR34', 'C1QC', 'SH3BGRL3', 'RGS10', 'CLEC4A', 'LAPTM5', 'CD14', 'HLA-DMB', 'ANXA1', 'NCF2', 'SRGN', 'HCK', 'VSIG4', 'CSF2RA', 'TLR4', 'MPEG1', 'NECAP2', 'GLIPR1', 'GLIPR2', 'ADCY7', 'CASP4', 'FCER1G', 'TMSB4X', 'FXYD5', 'CD163', 'MNDA', 'LY86', 'PLEKHO2', 'ENTPD1', 'TLR1']",1.4366891179025814e-36,True
kidney,heart,1,1,275,109,39,14.181818181818182,35.77981651376147,1.1833528107147943e-10,4.35090799031477,"['CCR2', 'CXorf21', 'GPR183', 'GPSM3', 'CLEC7A', 'CD84', 'TRAF5', 'IL10RA', 'FAM26F', 'C1orf162', 'CSF2RB', 'SELPLG', 'CD300A', 'BCL2A1', 'AOAH', 'TNFAIP8L2', 'PILRA', 'PREX1', 'PTPN6', 'RGS19', 'EFHD2', 'PRKCB', 'STK10', 'SLAMF8', 'LAT2', 'ELF4', 'LST1', 'DOCK2', 'TLR8', 'PIK3R5', 'CD86', 'LCP1', 'VAV1', 'LYZ', 'MYO1F', 'FCN1', 'EVI2B', 'GPR65', 'HCST']",1.9722546845246572e-10,True
kidney,heart,1,2,275,107,26,9.454545454545455,24.299065420560748,0.00046008150727090685,2.361644107293371,"['RNF213', 'ICAM1', 'NMI', 'CASP1', 'GIMAP2', 'CARD16', 'GBP2', 'RAB27A', 'HAPLN3', 'SP140L', 'SAMD9', 'NOD2', 'IFI16', 'TNFSF13B', 'TNFAIP3', 'TRIM22', 'TRANK1', 'DCLRE1C', 'DTX3L', 'TNFRSF1B', 'SP110', 'MLKL', 'IFITM1', 'DNMT1', 'FNBP1', 'BAZ1A']",0.0005751018840886335,True
kidney,heart,2,1,150,109,38,25.333333333333332,34.862385321100916,3.636581547724485e-19,9.399647887323944,"['DEF6', 'WDFY4', 'SASH3', 'IRF8', 'CLEC10A', 'HMHA1', 'FYB', 'PTPN22', 'TAGAP', 'CORO1A', 'LPXN', 'SELL', 'CYTIP', 'IKZF1', 'STK4', 'DAPP1', 'ITGA4', 'RAC2', 'CD37', 'ARHGAP30', 'BIRC3', 'CD52', 'ARHGAP9', 'FAM65B', 'DUSP2', 'SLA', 'AKNA', 'P2RY13', 'STK17B', 'ARHGAP25', 'CD48', 'DOCK10', 'CD38', 'AIM2', 'KLHL6', 'BIN2', 'PTPRC', 'AMICA1']",7.576211557759344e-19,True
kidney,heart,2,4,150,83,66,44.0,79.51807228915662,1.7292802506074253e-67,93.40756302521008,"['PTPN7', 'BTLA', 'P2RY10', 'TBX21', 'HLA-DOB', 'GZMK', 'EOMES', 'TRAT1', 'NELL2', 'THEMIS', 'NKG7', 'SH2D1A', 'IL2RB', 'CD3D', 'CD6', 'SLAMF1', 'SIRPG', 'GZMA', 'GPR18', 'NLRC3', 'CD96', 'CCR5', 'LCK', 'SLAMF7', 'IL23A', 'PRF1', 'GZMB', 'KLRC1', 'GNLY', 'TBC1D10C', 'IL2RG', 'CXCR6', 'LTB', 'RHOH', 'PLAC8', 'KLRD1', 'TIGIT', 'CCR7', 'KLRB1', 'CD27', 'CD2', 'APOBEC3G', 'TMC8', 'CD247', 'IL7R', 'CST7', 'BCL11B', 'GPR171', 'CCL5', 'DGKA', 'SYTL1', 'IRF4', 'CD8A', 'RASAL3', 'CD69', 'ITGAL', 'CRTAM', 'TRAF3IP3', 'ZAP70', 'LAX1', 'IL16', 'PYHIN1', 'GZMH', 'ITK', 'RUNX3', 'SAMD3']",4.323200626518563e-66,True
kidney,heart,3,0,114,191,16,14.035087719298245,8.37696335078534,0.035389691645789915,1.7716618075801749,"['ESYT1', 'CMTM3', 'TMSB10', 'DOCK11', 'NNMT', 'CLIC1', 'TIMP1', 'SOAT1', 'C1RL', 'SNHG12', 'MYO5A', 'BASP1', 'CXCL16', 'S100A11', 'IL10RB', 'CNPY3']",0.035389691645789915,True
kidney,heart,3,3,114,84,14,12.280701754385966,16.666666666666668,7.096727831923294e-05,4.008,"['CAPZA1', 'IQGAP1', 'ANXA5', 'PPT1', 'CAP1', 'TMEM123', 'ACTR3', 'RNF149', 'ANXA2P2', 'ANXA2', 'YWHAH', 'RP2', 'DCK', 'VIM']",9.337799778846438e-05,True
kidney,heart,4,2,55,107,44,80.0,41.12149532710281,9.051686474277661e-52,131.42857142857142,"['PSME1', 'HLA-DRB1', 'GBP5', 'APOL3', 'EPSTI1', 'RTP4', 'SAMD9L', 'DDX58', 'IFIH1', 'DDX60', 'BTN3A2', 'CXCL11', 'GBP4', 'PARP9', 'APOL1', 'TAP2', 'PSMB9', 'HLA-DRA', 'HLA-B', 'IFIT2', 'IFIT3', 'HCP5', 'HLA-E', 'BTN3A1', 'ISG15', 'BTN3A3', 'UBE2L6', 'HLA-DQA1', 'IRF1', 'TAP1', 'HLA-DOA', 'HLA-DPA1', 'CXCL10', 'PARP14', 'IDO1', 'PSMB8', 'CD74', 'HLA-F', 'CXCL9', 'OAS2', 'PSME2', 'GBP1', 'PARP12', 'STAT1']",7.543072061898051e-51,True
