gene,module
TIMP1,0
CD44,0
RAB31,0
C1QB,0
C1QC,0
C3AR1,0
RNASE6,0
FPR3,0
LY96,0
MSR1,0
S100A11,0
NNMT,0
CD53,0
ITGB2,0
HCK,0
CTSS,0
LILRB2,0
CLEC4A,0
CSF2RA,0
PLEK,0
LAPTM5,0
ARHGDIB,0
SH3BGRL,0
CTSC,0
SH3BGRL3,0
CMTM3,0
HLA-DMA,0
CASP4,0
MS4A6A,0
RNASET2,0
VAMP8,0
ANXA1,0
PFN1,0
GMFG,0
AIF1,0
LYN,0
PRPS2,0
FCER1G,0
WIPF1,0
DRAM1,0
ARHGAP15,0
PLEKHO2,0
RAB32,0
CSTA,0
SYK,0
ADCY7,0
RAB8B,0
PYCARD,0
ABRACL,0
MPEG1,0
CMTM7,0
GLIPR1,0
SLC30A7,0
TYROBP,0
DOCK11,0
LAIR1,0
APBB1IP,0
NABP1,0
EPB41L3,0
CYBB,0
OSTF1,0
MARCH1,0
CD40,0
ITGAM,0
EVI2A,0
RAP2B,0
SAMSN1,0
RASSF2,0
RBM47,0
FAM107B,0
RGS10,0
CD14,0
SRGN,0
CYBA,0
FERMT3,0
ARPC1B,0
TCIRG1,0
TMSB10,0
HLA-DMB,0
LCP2,0
SNX10,0
TMSB4X,0
CCDC109B,0
IFI30,0
CMTM6,0
TLR1,0
RHOG,0
KYNU,0
MYD88,0
SLC7A7,0
MNDA,0
TFEC,0
NCF2,0
HCLS1,0
MAN2B1,0
IFNGR2,0
BLNK,0
ARAP2,0
TLR7,0
NECAP2,0
HNMT,0
TLR4,0
SOAT1,0
TLR2,0
C1QA,0
F13A1,0
CSF1R,0
ATP11C,0
MRC1,0
ADAP2,0
LILRB4,0
MAF,0
SHTN1,0
FOLR2,0
MS4A7,0
ADGRE5,0
TMEM2,0
IQGAP2,0
CLIC1,0
ENTPD1,0
MYO5A,0
IL10RB,0
IL13RA1,0
FCGR3A,0
SLC20A1,0
EMP3,0
GLIPR2,0
GPX1,0
CD68,0
PQLC3,0
ATL3,0
RAB8A,0
ESYT1,0
VSIG4,0
C2,0
MAFB,0
CD163,0
MS4A4A,0
SLCO2B1,0
SIGLEC1,0
ARPC2,0
CHST2,0
KIAA0226L,0
