gene,module
DNAJC12,0
CIRH1A,0
ACOX2,0
TMEM150A,0
IGSF11,0
PDZK1IP1,0
AMDHD1,0
SLC22A8,0
AQP11,0
NOX4,0
PLA2G12B,0
HECW1,0
TUBAL3,0
OSTBETA,0
SUCLG1,0
PEPD,0
C21orf33,0
SLC37A4,0
FAH,0
HAGH,0
SLC4A4,0
SLC25A42,0
ACSF2,0
PCK2,0
MME,0
HSD17B14,0
SAT2,0
ACOT13,0
FBP1,0
NQO2,0
CHPT1,0
PC,0
MTHFS,0
FABP1,0
DDX10,0
REEP6,0
RNF186,0
GSTA1,0
SLC12A6,0
ASB9,0
SLC22A4,0
AS3MT,0
FDX1,0
HDAC6,0
PTH1R,0
RBPMS2,0
DAO,0
IYD,0
PIPOX,0
SLC22A6,0
ST7,0
SLC7A9,0
ALDH7A1,0
OGG1,0
HPD,0
SLC9A3R1,0
TRIM10,0
CES2,0
GLYAT,0
KHK,0
FAM151A,0
MTTP,0
CDHR2,0
HNF4A,0
ABCC2,0
WDR72,0
AFM,0
AGMAT,0
FAM20C,0
DDO,0
B3GNT4,0
ANGPTL3,0
SYT6,0
CYP4F3,0
TTC36,0
AGPAT3,0
SLC13A3,0
C9orf66,0
SLC36A2,0
ANKS4B,0
CIDEB,0
SARDH,0
ALDOB,0
SLC5A12,0
UPB1,0
GABRR3,0
GPR137B,0
QDPR,0
MSRA,0
BPHL,0
APOE,0
SLC6A13,0
LHPP,0
ADI1,0
CTSL2,0
ALDH4A1,0
PRAP1,0
CYB5A,0
HDHD3,0
CLRN3,0
SFXN2,0
KMO,0
MOSC2,0
ASS1,0
KL,0
DPYS,0
PGRMC1,0
PBLD,0
PAH,0
MAP7,0
SLC47A1,0
ALDH2,0
NIPSNAP1,0
SDHC,0
SORD,0
TTC38,0
NFS1,0
AZGP1,0
ACADSB,0
PNP,0
MAOB,0
PLG,0
ALDH3A2,0
IVD,0
ACAA1,0
DHTKD1,0
ALDH9A1,0
DDC,0
ALDH6A1,0
SUSD2,0
ABHD6,0
EHHADH,0
TPRG1L,0
ACY1,0
ACOX1,0
SLC23A1,0
ENPP6,0
CRYL1,0
ALDH8A1,0
TMEM174,0
ECHDC3,0
SLC28A1,0
DIO1,0
GALM,0
AK3L1,0
TRPM3,0
SLC13A2,0
SHMT1,0
TMEM192,0
L2HGDH,0
CUBN,0
ADH6,0
ABAT,0
GIPC2,0
PDZD3,0
XPNPEP2,0
DMGDH,0
GLYATL1,0
GCDH,0
ACO2,0
SEPHS2,0
AGXT2,0
A1CF,0
BHMT2,0
BHMT,0
PECR,0
EPHX2,0
HRSP12,0
HMGCL,0
ALDH1L1,0
ECHS1,0
NGEF,0
PNPO,0
NAT8,0
PKLR,0
RAB11FIP3,0
ASB13,0
KIAA1191,0
ACO1,0
TACO1,0
MTCH2,0
ETFB,0
SPRYD4,0
PCCB,0
MCCC2,0
GATM,0
HADH,0
SLC6A19,0
PRLR,0
TLN2,0
AGPAT9,0
ASPA,0
SFXN1,0
UGT2B7,0
ALAD,0
MSH3,0
CNDP2,0
AKR1A1,0
C1orf115,0
SLC25A10,0
SLC26A6,0
CDK18,0
GPHN,0
FMO1,0
PHB,0
ZFAT,0
SCRN2,0
C5orf23,0
TRPV4,0
C7orf10,0
PLD1,0
FAHD1,0
QPRT,0
CDHR5,0
C19orf77,0
HAO2,0
PRODH2,0
PLEKHA5,0
CMBL,0
ISOC2,0
ALPL,0
DAK,0
SLC39A5,0
COLEC11,0
FTCD,0
TMEM106A,0
ESPN,0
CYP3A4,0
CCDC150,0
