gene,module
WDFY4,0
DOCK10,0
FYB,0
PAQR8,0
DAPP1,0
RGS10,0
HVCN1,0
HLA-DRA,0
ARHGDIB,0
CD53,0
CD52,0
GMFG,0
AIF1,0
WIPF1,0
RGS19,0
SYK,0
ELF4,0
ARHGAP30,0
DOCK2,0
PTPN6,0
STK17B,0
CD74,0
LCP1,0
GPR65,0
CARD16,0
CORO1A,0
RAC2,0
GPSM3,0
LCP2,0
COTL1,0
CD44,0
ITGB2,0
FCER1G,0
HCK,0
PYCARD,0
SASH3,0
TYROBP,0
LST1,0
PLEK,0
CYBA,0
FERMT3,0
HLA-DMB,0
TMSB10,0
HLA-DPA1,0
HLA-DMA,0
HLA-DPB1,0
CPVL,0
ARHGAP15,0
ADCY7,0
ARHGEF3,0
FGL2,0
HCST,0
CECR1,0
ITGA4,0
CCR5,0
HLA-DOA,0
HLA-DRB1,0
CSF2RB,0
PPT1,0
CTSC,0
CD86,0
EPB41L3,0
HAVCR2,0
TFEC,0
NAGK,0
LYN,0
ADA,0
CTSS,0
SLC7A7,0
BATF,0
TLR8,0
CYBB,0
LILRB2,0
LILRB4,0
PTPRC,0
ST8SIA4,0
C1QA,0
VSIG4,0
C1QB,0
C1QC,0
CD300A,0
FOLR2,0
MS4A7,0
PTAFR,0
SCPEP1,0
LY86,0
OSBPL3,0
TNFSF13B,0
PILRA,0
TLR7,0
CASP1,0
CLEC7A,0
EVI2B,0
SEL1L3,0
GGTA1P,0
TRAF5,0
FMNL2,0
MSR1,0
ADGRE5,0
PTGER4,0
CD163,0
PIK3R5,0
CELF2,0
MYO1F,0
CRLF3,0
ALOX5,0
CD38,0
BTK,0
FCGR3A,0
MARCH1,0
DOCK8,0
CD72,0
RNASET2,0
VAV1,0
TNFAIP8L2,0
SLC15A3,0
TMSB4X,0
PLEKHO1,0
MPEG1,0
C1orf162,0
SCIMP,0
NLRC4,0
IRF8,0
CCR1,0
STX11,0
LILRB1,0
BIN2,0
FLI1,0
ARL4C,0
PTPRE,0
AOAH,0
DOK2,0
CLEC4A,0
CXorf21,0
MOB3A,0
GIMAP4,0
SELPLG,0
PRKCB,0
GIMAP7,0
SAMD9L,0
LPCAT2,0
CD68,0
CYTIP,0
FNBP1,0
AIM2,0
JAK2,0
RGS18,0
GIMAP1,0
ICAM1,0
NFKBIE,0
LXN,1
VIM,1
TIMP1,1
RAB31,1
LGALS3,1
LAPTM5,1
S100A11,1
FLNA,1
S100A6,1
SH3BGRL3,1
KCTD12,1
CMTM3,1
IQGAP1,1
IFI16,1
PREX1,1
S100A4,1
EMP3,1
MYOF,1
GLIPR2,1
IMPDH1,1
CMTM7,1
DOCK11,1
LY96,1
BLVRA,1
CCDC109B,1
ALDOA,1
METRNL,1
MAPRE1,1
LPCAT1,1
CASP4,1
NSMAF,1
MMD,1
FAM49B,1
DRAM1,1
KIF2A,1
RAB8B,1
SLC25A24,1
C3AR1,1
RNASE6,1
SWAP70,1
CLIC1,1
UBE2D1,1
ENTPD1,1
MYO5A,1
LAIR1,1
NABP1,1
TMEM51,1
ZNF267,1
BCL2A1,1
TNFAIP8,1
SAMSN1,1
PLXNC1,1
GYG1,1
NCF2,1
SRGN,1
ARPC2,1
MTHFD2,1
ARPC1B,1
ATP1B3,1
KCTD10,1
FABP5,1
SH3BGRL,1
GLIPR1,1
EVI2A,1
PEA15,1
ATP6V1F,1
HK1,1
PLEKHO2,1
IFI30,1
TUBB6,1
TUBA1A,1
PFKP,1
ABR,1
ANXA1,1
PNMA1,1
MICAL1,1
PECAM1,1
GALNT7,1
SLFN11,1
FAR1,1
FAM129A,1
MARCKS,1
GLS,1
GYPC,1
C10orf54,1
ADRBK2,1
HPSE,1
NCF4,1
CHST11,1
LEPROTL1,1
BIRC3,1
SERPINB1,1
GNB4,1
ZEB2,1
MLKL,1
KLHL6,1
CSF2RA,1
FCGR1A,1
ASAP1,1
MTMR2,1
TPM4,1
ASAH1,1
GPNMB,1
EMILIN2,1
TREM2,1
PLA2G7,1
C15orf48,1
CAPG,1
TIMP2,1
TNFAIP3,1
RAP2B,1
AMPD3,1
QPCT,1
CCL18,1
SLA,1
TLR2,1
SELM,1
RAB34,1
PARP8,1
PJA1,1
SUSD1,1
IL18,1
FCGR1B,1
RARRES1,1
NAP1L1,1
STK17A,1
EPB41L2,1
TMEM206,1
FPR3,1
UBASH3B,1
PLAUR,1
SOAT1,1
SLC38A6,1
CD84,1
NCEH1,1
CCRL2,1
MFSD6,1
MAP3K8,1
CCT2,2
NSF,2
HSPA4,2
FAM98A,2
RHOA,2
WDR1,2
VMP1,2
TMBIM1,2
EHD4,2
MORC4,2
SRA1,2
CCT6A,2
HNRNPAB,2
ETF1,2
ATR,2
GARS,2
TUBA1C,2
IFNGR2,2
HN1,2
CD58,2
PLBD1,2
PSMD2,2
PSMD7,2
CPSF2,2
PSMD14,2
DNM1L,2
PSMD1,2
PSMD11,2
YWHAH,2
ARPC5,2
MSN,2
TMEM165,2
TMEM50A,2
CAP1,2
C12orf4,2
PLEKHB2,2
RHOQ,2
DDX39A,2
H2AFY,2
ACOT9,2
E2F3,2
NUP93,2
PPA1,2
DYNLT1,2
TES,2
BCAT1,2
ERI1,2
