gene,module
WDFY4,0
CD3D,0
DOCK10,0
FYB,0
PAQR8,0
DAPP1,0
BCL11B,0
CD48,0
RGS10,0
HVCN1,0
IKZF1,0
HLA-DRA,0
LXN,0
VIM,0
TIMP1,0
RAB31,0
LGALS3,0
LAPTM5,0
S100A11,0
CCT2,0
NSF,0
HSPA4,0
FAM98A,0
RHOA,0
WDR1,0
VMP1,0
FLNA,0
S100A6,0
TMBIM1,0
EHD4,0
MORC4,0
SRA1,0
ARHGDIB,0
SH3BGRL3,0
KCTD12,0
CMTM3,0
IQGAP1,0
IFI16,0
CD53,0
PREX1,0
CD52,0
GMFG,0
AIF1,0
S100A4,0
EMP3,0
MYOF,0
WIPF1,0
RGS19,0
SYK,0
GLIPR2,0
IMPDH1,0
ELF4,0
CMTM7,0
ARHGAP30,0
DOCK11,0
DOCK2,0
PTPN6,0
STK17B,0
CD74,0
LCP1,0
LY96,0
GPR65,0
CARD16,0
BLVRA,0
CORO1A,0
RAC2,0
GPSM3,0
LCP2,0
CCDC109B,0
COTL1,0
CD44,0
ITGB2,0
FCER1G,0
HCK,0
PYCARD,0
SASH3,0
TYROBP,0
LST1,0
PLEK,0
CYBA,0
FERMT3,0
HLA-DMB,0
CCT6A,0
HNRNPAB,0
ETF1,0
ATR,0
GARS,0
TUBA1C,0
IFNGR2,0
HN1,0
CD58,0
ALDOA,0
METRNL,0
PLBD1,0
TMSB10,0
PSMD2,0
PSMD7,0
CPSF2,0
PSMD14,0
DNM1L,0
PSMD1,0
PSMD11,0
HLA-DPA1,0
HLA-DMA,0
HLA-DPB1,0
CPVL,0
ARHGAP15,0
GZMA,0
ADCY7,0
ARHGEF3,0
FGL2,0
HCST,0
CECR1,0
ITGA4,0
SLAMF7,0
CCR5,0
CD2,0
HLA-DOA,0
LCK,0
TRAF3IP3,0
HLA-DRB1,0
MAPRE1,0
YWHAH,0
LPCAT1,0
ARPC5,0
MSN,0
TMEM165,0
TMEM50A,0
CASP4,0
NSMAF,0
MMD,0
FAM49B,0
DRAM1,0
CAP1,0
C12orf4,0
KIF2A,0
RAB8B,0
SLC25A24,0
C3AR1,0
RNASE6,0
SWAP70,0
CLIC1,0
CSF2RB,0
UBE2D1,0
PLEKHB2,0
ENTPD1,0
MYO5A,0
LAIR1,0
NABP1,0
TMEM51,0
ZNF267,0
RHOQ,0
BCL2A1,0
TNFAIP8,0
DDX39A,0
H2AFY,0
SAMSN1,0
PLXNC1,0
ACOT9,0
GYG1,0
NCF2,0
SRGN,0
E2F3,0
ARPC2,0
MTHFD2,0
ARPC1B,0
ATP1B3,0
KCTD10,0
NUP93,0
PPA1,0
DYNLT1,0
FABP5,0
TES,0
BCAT1,0
ERI1,0
CCL20,0
SERPINB8,0
FAIM,0
ITGA6,0
ANXA2,0
MYL12A,0
TNFRSF12A,0
ARNTL2,0
ANXA2P2,0
TMEM185B,0
KRT18,0
SH3BGRL,0
PPT1,0
GLIPR1,0
EVI2A,0
GOLT1B,0
ATP6V1B2,0
GNS,0
ACTR3,0
IFNGR1,0
SDCBP,0
KIF5B,0
CAPZA1,0
MFSD1,0
CTSC,0
CD86,0
EPB41L3,0
HAVCR2,0
TFEC,0
ACTB,0
IL32,0
PEA15,0
ATP6V1F,0
NAGK,0
LYN,0
HK1,0
ADA,0
PLEKHO2,0
CTSS,0
SLC7A7,0
BATF,0
TLR8,0
CYBB,0
LILRB2,0
LILRB4,0
PTPRC,0
ST8SIA4,0
IFI30,0
TUBB6,0
TUBA1A,0
PFKP,0
ABR,0
ANXA1,0
PNMA1,0
MICAL1,0
PECAM1,0
GALNT7,0
SLFN11,0
FAR1,0
FAM129A,0
MARCKS,0
GLS,0
GYPC,0
C10orf54,0
ADRBK2,0
HPSE,0
NCF4,0
CHST11,0
LEPROTL1,0
ITGAV,0
C1QA,0
VSIG4,0
C1QB,0
C1QC,0
CD300A,0
FOLR2,0
MS4A7,0
GNL2,0
CALU,0
GTPBP4,0
NOP58,0
SPON2,0
MYL12B,0
PTAFR,0
SCPEP1,0
LY86,0
OSBPL3,0
TNFSF13B,0
PILRA,0
TLR7,0
CASP1,0
CLEC7A,0
EVI2B,0
SEL1L3,0
GGTA1P,0
VAMP5,0
UBLCP1,0
LIMK2,0
TMEM87B,0
ANXA5,0
BIRC3,0
SERPINB1,0
ISG20,0
TRAF5,0
FMNL2,0
MSR1,0
ADGRE5,0
GNB4,0
PTGER4,0
ZEB2,0
MLKL,0
CD163,0
PIK3R5,0
CELF2,0
MYO1F,0
CRLF3,0
ALOX5,0
KLHL6,0
CD38,0
BTK,0
FCGR3A,0
MARCH1,0
DOCK8,0
CSF2RA,0
FCGR1A,0
CD72,0
RNASET2,0
VAV1,0
TNFAIP8L2,0
SLC15A3,0
CORO1C,0
CCDC112,0
LTV1,0
ASAP1,0
MTMR2,0
TPM4,0
TMSB4X,0
ASAH1,0
GPNMB,0
PLEKHO1,0
MPEG1,0
CTR9,0
C1orf162,0
SCIMP,0
NLRC4,0
CD37,0
IL2RG,0
IRF8,0
CCR1,0
STX11,0
LILRB1,0
SMARCA5,0
EMILIN2,0
TREM2,0
PLA2G7,0
C15orf48,0
CAPG,0
BIN2,0
FLI1,0
CLEC2D,0
PTPN22,0
ARL4C,0
DEF6,0
PTPRE,0
RUNX3,0
AOAH,0
TIMP2,0
DOK2,0
TNFAIP3,0
CAPN2,0
RAP2B,0
DDX5,0
CLEC4A,0
AMPD3,0
CXorf21,0
QPCT,0
IDO1,0
SEPT1,0
CCL18,0
SLA,0
TLR2,0
ATP6V0B,0
SELM,0
RAB34,0
MOB3A,0
APOBEC3G,0
GIMAP4,0
CD8A,0
HOPX,0
SH2D1A,0
GZMK,0
RASGRP1,0
ITGAL,0
CXCR6,0
MCOLN2,0
SAMD3,0
CCL5,0
IL23A,0
GPR18,0
FASLG,0
TBC1D10C,0
THEMIS,0
CD96,0
EOMES,0
ITK,0
